Datetime,Open,High,Low,Close,Volume
2026-03-06 14:45:00+05:30,209.14999389648438,209.4600067138672,206.4199981689453,206.47999572753906,1891456
2026-03-06 15:00:00+05:30,206.5,207.27000427246094,205.5500030517578,206.1300048828125,1313901
2026-03-06 15:15:00+05:30,206.27000427246094,208.3000030517578,205.3000030517578,206.5500030517578,1899300
2026-03-09 09:15:00+05:30,208.5,210.49000549316406,198.52000427246094,198.82000732421875,1235553
2026-03-09 09:30:00+05:30,198.85000610351562,199.75,193.33999633789062,193.52999877929688,1976631
2026-03-09 09:45:00+05:30,193.58999633789062,193.97000122070312,191.5,193.1199951171875,1337578
2026-03-09 10:00:00+05:30,192.97999572753906,193.82000732421875,191.89999389648438,192.58999633789062,676482
2026-03-09 10:15:00+05:30,192.50999450683594,193.33999633789062,191.6699981689453,192.25,540119
2026-03-09 10:30:00+05:30,192.25,192.25,190.7100067138672,190.97000122070312,628887
2026-03-09 10:45:00+05:30,190.9600067138672,192.3300018310547,188.66000366210938,191.27999877929688,1389195
2026-03-09 11:00:00+05:30,191.58999633789062,192.11000061035156,189.5800018310547,189.60000610351562,777269
2026-03-09 11:15:00+05:30,189.64999389648438,191.32000732421875,189.11000061035156,191.02000427246094,533433
2026-03-09 11:30:00+05:30,191.02000427246094,192.72000122070312,191.02000427246094,192.0,580166
2026-03-09 11:45:00+05:30,192.0800018310547,192.25999450683594,191.39999389648438,191.74000549316406,284361
2026-03-09 12:00:00+05:30,191.75999450683594,191.8000030517578,190.0,190.39999389648438,578934
2026-03-09 12:15:00+05:30,190.35000610351562,191.3000030517578,190.33999633789062,191.19000244140625,216800
2026-03-09 12:30:00+05:30,191.19000244140625,191.5,190.47000122070312,190.9600067138672,209339
2026-03-09 12:45:00+05:30,190.9600067138672,191.42999267578125,190.52000427246094,191.10000610351562,138612
2026-03-09 13:00:00+05:30,191.10000610351562,191.10000610351562,190.0,190.07000732421875,270070
2026-03-09 13:15:00+05:30,190.08999633789062,190.4499969482422,189.6199951171875,190.36000061035156,299582
2026-03-09 13:30:00+05:30,190.30999755859375,190.85000610351562,190.0800018310547,190.0800018310547,176462
2026-03-09 13:45:00+05:30,190.0399932861328,190.36000061035156,189.61000061035156,189.6999969482422,211079
